[Header],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041001,80.06163025,25.43466568,1.94E-05,8.64E-09,1,5,14.00089645,4.999783824,36.01000085,0.025330332,0.003776742,1,-3.69E-08,,,,,,,,,,,,,,,,,,,,,80.06163025,80.06163025,25.43466568,25.43466568,49.65412413,5.762967229,6.935516357,70,1,0,0,1,0.315322876,33.23558426,2,1,1,80.06163025,0,80.06163025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041032,85.03517914,25.43466568,1.89E-05,7.88E-09,1,5,14.00089645,4.999694406,36.01999953,0.024675411,0.003678846,1,-3.62E-08,,,,,,,,,,,,,,,,,,,,,85.03517914,85.03517914,25.43466568,25.43466568,49.81123146,5.763425585,6.977695942,70,1,0,0,1,0.313644409,32.25806427,2,1,1,85.03517914,0,85.03517914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041063,90.04558563,25.43466568,1.82E-05,8.69E-09,1,5,14.00089645,4.999288494,36.02999821,0.023781285,0.003556779,1,-2.65E-08,,,,,,,,,,,,,,,,,,,,,90.04558563,90.04558563,25.43466568,25.43466568,49.69203311,5.763917782,7.010605335,69,1,64,0,0,0.31539917,33.23558426,2,1,1,90.04558563,0,90.04558563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041093,95.02999878,25.43466568,1.73E-05,1.02E-08,1,5,14.00089645,4.999146413,36.04000062,0.022517119,0.003367347,1,-2.53E-08,,,,,,,,,,,,,,,,,,,,,95.02999878,95.02999878,25.43466568,25.43466568,49.83468031,5.764273717,7.022447109,68,1,64,0,0,0.314941406,32.74682236,2,1,1,95.02999878,0,95.02999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041123,100.0527802,25.43466568,1.57E-05,1.07E-08,1,5,14.00089645,4.999005561,36.0499993,0.02045728,0.003049582,1,-3.03E-08,,,,,,,,,,,,,,,,,,,,,100.0527802,100.0527802,25.43466568,25.43466568,49.80107029,5.765150086,7.049550056,70,1,0,0,1,0.315322876,32.74682236,2,1,1,100.0527802,0,100.0527802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041153,105.001091,25.43466568,1.44E-05,8.54E-09,1,5,14.00089645,4.998771301,36.0600017,0.018805565,0.002815334,1,-1.89E-08,,,,,,,,,,,,,,,,,,,,,105.001091,105.001091,25.43466568,25.43466568,49.77332248,5.766249291,7.066531181,70,1,0,0,1,0.316696167,32.74682236,2,1,1,105.001091,0,105.001091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041184,110.030899,25.43466568,1.35E-05,7.25E-09,1,5,14.00089645,4.998696344,36.07000038,0.017639896,0.002627815,1,-2.75E-08,,,,,,,,,,,,,,,,,,,,,110.030899,110.030899,25.43466568,25.43466568,49.63614667,5.766499479,7.093688965,70,1,0,0,1,0.318374634,32.74682236,2,1,1,110.030899,0,110.030899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041214,115.0015945,25.43466568,1.31E-05,6.60E-09,1,5,14.00089645,4.998643772,36.07999906,0.017081289,0.00254126,1,-2.91E-08,,,,,,,,,,,,,,,,,,,,,115.0015945,115.0015945,25.43466568,25.43466568,49.70414835,5.766081029,7.113801956,68,1,64,0,0,0.316619873,33.23558426,2,1,1,115.0015945,0,115.0015945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041244,120.0269012,25.43466568,1.29E-05,6.79E-09,1,5,14.00089645,4.99861474,36.09000146,0.016826134,0.002509784,1,-2.38E-08,,,,,,,,,,,,,,,,,,,,,120.0269012,120.0269012,25.43466568,25.43466568,49.64279051,5.766702433,7.132138252,70,1,0,0,1,0.317153931,32.74682236,2,1,1,120.0269012,0,120.0269012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864041275,125.057518,25.43466568,1.28E-05,6.89E-09,1,5,14.00089645,4.998513011,36.10999882,0.016666589,0.002490799,1,-2.00E-08,,,,,,,,,,,,,,,,,,,,,125.057518,125.057518,25.43466568,25.43466568,49.73150535,5.767232212,7.1451931,69,1,64,0,0,0.316925049,32.74682236,2,1,1,125.057518,0,125.057518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
